2025-04-15 21:10:48,568 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkTrue', visual_dir='./visual/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-15 21:10:48,569 - INFO - 当前评分模式: ['robust_zscore']
2025-04-15 21:10:48,569 - INFO - 
==================================================
2025-04-15 21:10:48,569 - INFO - 开始执行网格搜索...
2025-04-15 21:10:48,570 - INFO - [omi-1] Starting grid search...
2025-04-15 21:11:33,155 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=5.0, use_topk=True, P=0.7387, R=0.9213, F1=0.8200
2025-04-15 21:11:33,730 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=5.5, use_topk=True, P=0.7387, R=0.9213, F1=0.8200
2025-04-15 21:11:35,022 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=6.0, use_topk=True, P=0.7387, R=0.9213, F1=0.8200
2025-04-15 21:11:35,125 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=6.5, use_topk=True, P=0.7387, R=0.9213, F1=0.8200
2025-04-15 21:11:35,197 - INFO - [omi-1.txt] mode=robust_zscore, top_k=7, threshold=7.0, use_topk=True, P=0.7455, R=0.9213, F1=0.8241
2025-04-15 21:11:35,794 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=1.0, use_topk=True, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 21:11:37,025 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=1.5, use_topk=True, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 21:11:37,093 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=2.0, use_topk=True, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 21:11:37,181 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=2.5, use_topk=True, P=0.7304, R=0.9438, F1=0.8235
2025-04-15 21:11:37,805 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=3.0, use_topk=True, P=0.7304, R=0.9438, F1=0.8235
2025-04-15 21:11:39,032 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=3.5, use_topk=True, P=0.7304, R=0.9438, F1=0.8235
2025-04-15 21:11:39,185 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=4.0, use_topk=True, P=0.7304, R=0.9438, F1=0.8235
2025-04-15 21:11:39,192 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=4.5, use_topk=True, P=0.7304, R=0.9438, F1=0.8235
2025-04-15 21:11:39,890 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=5.0, use_topk=True, P=0.7368, R=0.9438, F1=0.8276
2025-04-15 21:11:41,020 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=5.5, use_topk=True, P=0.7368, R=0.9438, F1=0.8276
2025-04-15 21:11:41,162 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=6.0, use_topk=True, P=0.7434, R=0.9438, F1=0.8317
2025-04-15 21:11:41,163 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=6.5, use_topk=True, P=0.7434, R=0.9438, F1=0.8317
2025-04-15 21:11:41,867 - INFO - [omi-1.txt] mode=robust_zscore, top_k=8, threshold=7.0, use_topk=True, P=0.7500, R=0.9438, F1=0.8358
2025-04-15 21:11:43,065 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=1.0, use_topk=True, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:11:43,142 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=1.5, use_topk=True, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:11:43,225 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=2.0, use_topk=True, P=0.7395, R=0.9888, F1=0.8462
2025-04-15 21:11:43,956 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=2.5, use_topk=True, P=0.7350, R=0.9663, F1=0.8350
2025-04-15 21:11:45,065 - INFO - [omi-1.txt] mode=robust_zscore, top_k=9, threshold=3.0, use_topk=True, P=0.7328, R=0.9551, F1=0.8293
