2025-05-07 12:01:24,921 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([0. , 0.5, 1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. ,
       6.5, 7. ]), topk_range=range(1, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='all', score_modes=['mean_ratio'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/neighbor_all', visual_dir='./visual/omi/neighbor_all', num_workers=36, gif_duration=500)
2025-05-07 12:01:24,922 - INFO - 当前评分模式: ['mean_ratio']
2025-05-07 12:01:24,922 - INFO - 
==================================================
2025-05-07 12:01:24,922 - INFO - 开始执行网格搜索...
2025-05-07 12:02:00,506 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=0.0, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,528 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=0.5, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,528 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=1.0, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,528 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=1.5, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,626 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=2.0, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,627 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=2.5, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,724 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=3.0, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,725 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=3.5, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,725 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=4.0, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,725 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=4.5, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,725 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=5.0, P=0.4688, R=0.9836, F1=0.6349
2025-05-07 12:02:00,725 - INFO - [omi-10.txt] mode=mean_ratio, all=None, threshold=5.5, P=0.4688, R=0.9836, F1=0.6349
