2025-04-17 17:42:03,944 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='els', window_size=5, score_thresholds=array([0. , 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1. , 1.1, 1.2,
       1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9, 2. , 2.1, 2.2, 2.3, 2.4, 2.5,
       2.6, 2.7, 2.8, 2.9, 3. , 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8,
       3.9, 4. , 4.1, 4.2, 4.3, 4.4, 4.5, 4.6, 4.7, 4.8, 4.9, 5. , 5.1,
       5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6. , 6.1, 6.2, 6.3, 6.4,
       6.5, 6.6, 6.7, 6.8, 6.9, 7. ]), topk_range=range(0, 10), corr_threshold_range=array([0. , 0. , 0.1, 0.2, 0.2, 0.2, 0.3, 0.4, 0.4, 0.4, 0.5, 0.6, 0.6,
       0.6]), neighbor_selection='topk', score_modes=['deviation'], data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/els/neighbor_topk', visual_dir='./visual/els/neighbor_topk', num_workers=36, gif_duration=500)
2025-04-17 17:42:03,944 - INFO - 当前评分模式: ['deviation']
2025-04-17 17:42:03,944 - INFO - 
==================================================
2025-04-17 17:42:03,945 - INFO - 开始执行网格搜索...
2025-04-17 17:42:03,948 - INFO - [els-1] Starting grid search...
2025-04-17 17:42:05,721 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.1, P=0.2796, R=0.4664, F1=0.3496
2025-04-17 17:42:05,746 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.2, P=0.2846, R=0.4664, F1=0.3535
2025-04-17 17:42:05,746 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.3, P=0.2865, R=0.4622, F1=0.3537
2025-04-17 17:42:05,746 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.4, P=0.2910, R=0.4622, F1=0.3571
2025-04-17 17:42:05,746 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.5, P=0.2949, R=0.4622, F1=0.3601
2025-04-17 17:42:05,746 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.6, P=0.2919, R=0.4538, F1=0.3553
2025-04-17 17:42:05,748 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.7, P=0.2912, R=0.4454, F1=0.3522
2025-04-17 17:42:05,759 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.8, P=0.2748, R=0.4076, F1=0.3283
2025-04-17 17:42:05,768 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=3.9, P=0.2764, R=0.4076, F1=0.3294
2025-04-17 17:42:05,769 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.0, P=0.2779, R=0.4076, F1=0.3305
2025-04-17 17:42:05,830 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.1, P=0.2779, R=0.4076, F1=0.3305
2025-04-17 17:42:05,831 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.2, P=0.2795, R=0.4076, F1=0.3316
2025-04-17 17:42:05,831 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.3, P=0.2783, R=0.4034, F1=0.3293
2025-04-17 17:42:05,831 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.4, P=0.2824, R=0.4034, F1=0.3322
2025-04-17 17:42:05,883 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.5, P=0.2849, R=0.4034, F1=0.3339
2025-04-17 17:42:05,890 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.6, P=0.2874, R=0.4034, F1=0.3357
2025-04-17 17:42:05,902 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.7, P=0.2909, R=0.4034, F1=0.3380
2025-04-17 17:42:05,921 - INFO - [els-1.txt] mode=deviation, topk=1, threshold=4.8, P=0.2918, R=0.4034, F1=0.3386
