2025-04-16 11:48:18,088 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['robust_zscore'], use_topk=True, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/omi/use_topkTrue', visual_dir='./visual/omi/use_topkTrue', num_workers=4, gif_duration=500)
2025-04-16 11:48:18,089 - INFO - 当前评分模式: ['robust_zscore']
2025-04-16 11:48:18,089 - INFO - 
==================================================
2025-04-16 11:48:18,089 - INFO - 开始执行网格搜索...
2025-04-16 11:48:18,092 - INFO - [omi-1] Starting grid search...
2025-04-16 11:49:51,981 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=4.5, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:51,983 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=5.0, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:52,174 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=5.5, use_topk=True, P=0.4872, R=0.9344, F1=0.6404
2025-04-16 11:49:52,274 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=6.0, use_topk=True, P=0.4870, R=0.9180, F1=0.6364
2025-04-16 11:49:54,378 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=6.5, use_topk=True, P=0.4870, R=0.9180, F1=0.6364
2025-04-16 11:49:54,410 - INFO - [omi-10.txt] mode=robust_zscore, top_k=2, threshold=7.0, use_topk=True, P=0.4870, R=0.9180, F1=0.6364
2025-04-16 11:49:54,606 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=1.0, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:49:54,681 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=1.5, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:49:56,640 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=2.0, use_topk=True, P=0.4754, R=0.9508, F1=0.6339
2025-04-16 11:49:56,642 - INFO - [omi-10.txt] mode=robust_zscore, top_k=3, threshold=2.5, use_topk=True, P=0.4874, R=0.9508, F1=0.6444
