2025-04-15 23:33:02,581 - INFO - 
 Starting experiment with config: ExperimentConfig(dataset='omi', window_size=5, score_thresholds=array([1. , 1.5, 2. , 2.5, 3. , 3.5, 4. , 4.5, 5. , 5.5, 6. , 6.5, 7. ]), topk_range=range(1, 10), score_modes=['mean_ratio'], use_topk=False, data_dir='./data/processed', label_dir='./data/interpretation_label', log_dir='./log/use_topkFalse', visual_dir='./visual/use_topkFalse', num_workers=4, gif_duration=500)
2025-04-15 23:33:02,582 - INFO - pearson correlation 取绝对值
2025-04-15 23:33:02,582 - INFO - 当前评分模式: ['mean_ratio']
2025-04-15 23:33:02,582 - INFO - 
==================================================
2025-04-15 23:33:02,582 - INFO - 开始执行网格搜索...
2025-04-15 23:33:02,588 - INFO - [omi-1] Starting grid search...
2025-04-15 23:34:29,296 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:34:29,296 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:34:31,210 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:34:31,217 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.8261, R=0.9744, F1=0.8941
2025-04-15 23:34:31,218 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:34:31,302 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:34:33,184 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:34:33,184 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:34:33,184 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:34:33,281 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:34:34,924 - INFO - [omi-7.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.8444, R=0.9744, F1=0.9048
2025-04-15 23:34:34,942 - INFO - [omi-8] Starting grid search...
2025-04-15 23:34:38,024 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:38,077 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:38,077 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:38,112 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=2.5, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:40,039 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=3.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:40,080 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=3.5, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:40,081 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=4.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:40,148 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=4.5, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:42,008 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=5.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:42,044 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=5.5, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:42,102 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=6.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:42,188 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=6.5, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:43,856 - INFO - [omi-8.txt] mode=mean_ratio, top_k=None, threshold=7.0, use_topk=False, P=0.3537, R=0.9355, F1=0.5133
2025-04-15 23:34:43,871 - INFO - [omi-9] Starting grid search...
2025-04-15 23:34:46,982 - INFO - [omi-9.txt] mode=mean_ratio, top_k=None, threshold=1.0, use_topk=False, P=0.4962, R=0.9155, F1=0.6436
2025-04-15 23:34:47,057 - INFO - [omi-9.txt] mode=mean_ratio, top_k=None, threshold=1.5, use_topk=False, P=0.4962, R=0.9155, F1=0.6436
2025-04-15 23:34:47,058 - INFO - [omi-9.txt] mode=mean_ratio, top_k=None, threshold=2.0, use_topk=False, P=0.4962, R=0.9155, F1=0.6436
